Overall,Preparation,Gaming,Attendance,Extra
3.71,1,2,2,0
3.71,1,2,2,1
3.71,1,2,2,0
3.71,1,2,2,0
3.74,1,2,2,0
3.74,1,2,2,1
3.74,1,1,2,0
3.74,1,1,2,0
3.74,1,2,2,0
3.74,2,1,2,1
3.74,1,2,2,1
3.74,1,1,2,0
3.74,1,2,2,1
3.74,1,2,2,1
3.75,1,1,2,0
3.75,0,2,2,0
3.75,0,2,1,0
3.75,0,2,2,1
3.75,0,2,2,1
3.75,0,2,2,1
3.75,0,2,2,1
3.75,0,1,2,0
3.75,0,1,2,0
3.75,0,1,2,0
3.75,0,1,2,0
3.75,0,1,2,1
3.75,0,1,2,0
3.75,0,1,2,0
3.75,0,1,2,0
3.76,1,1,2,0
3.78,1,1,2,0
3.78,1,0,2,1
3.78,1,0,2,1
3.8,0,2,2,1
3.8,0,2,2,0
3.8,0,1,2,0
3.8,0,0,2,1
3.8,0,0,2,1
3.81,2,2,2,1
3.81,2,2,2,1
3.81,2,2,2,1
3.81,2,2,2,1
3.81,2,2,2,1
3.81,2,2,2,1
3.81,2,2,2,1
3.81,2,2,2,1
3.84,0,0,2,1
3.87,1,0,2,0
3.88,1,1,2,0
3.88,1,0,2,1
3.88,1,0,2,1
3.88,1,0,2,1
3.88,1,0,2,0
3.88,1,0,2,1
3.88,1,0,2,1
3.89,1,1,2,1
3.91,2,1,2,0
3.93,0,0,2,1
3.94,1,0,2,1
3.94,1,0,2,1
3.94,1,0,2,1
3.94,1,0,2,0
3.94,1,0,2,1
3.94,1,0,2,1
3.94,1,0,2,1
3.94,1,0,2,1
3.94,1,0,2,1
3.94,1,0,2,1
3.94,1,0,2,1
3.94,1,0,2,1
3.94,1,0,2,1
3.95,2,0,2,0
3.96,1,1,2,1
3.98,0,2,2,0
4.0,0,2,1,1
4.0,1,2,2,0
4.0,0,2,2,0
4.0,0,2,2,0
4.0,1,1,2,0
4.0,0,2,2,1
4.0,0,2,2,1
4.0,0,2,2,1
4.0,0,2,2,1
4.0,0,2,2,1
4.0,0,2,2,1
4.0,0,2,2,1
3.7,0,2,2,1
3.74,0,2,1,1
3.75,1,1,2,1
4.0,0,0,2,1
2.97,1,1,2,1
3.15,2,2,1,1
3.32,1,1,2,0
3.33,1,0,1,1
3.45,0,1,1,1
3.47,2,1,2,1
3.47,0,2,2,0
3.56,0,1,2,0
3.6,1,0,2,1
3.68,0,1,2,1
3.74,1,1,2,0
3.75,2,2,2,1
3.8,0,0,2,1
3.83,1,2,2,1
3.93,1,2,2,1
2.25,0,1,0,1
2.5,1,2,1,0
3.0,1,2,2,1
