Department,Gender,HSC,SSC,Income,Hometown,Computer,Preparation,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall
1,1,4.25,5.0,4,1,5,1,1,1,0,2,1,3,3.25,3.25
1,1,4.42,4.86,5,0,2,1,1,1,0,4,0,3,3.25,3.25
1,1,4.5,4.86,8,1,3,1,1,1,0,3,0,3,3.25,3.25
1,0,3.75,4.59,8,1,5,1,1,1,0,2,1,3,3.25,3.25
1,0,4.5,4.75,8,1,1,2,2,2,0,4,0,9,3.11,3.26
1,1,5.0,4.67,3,1,3,2,1,2,0,3,1,4,3.27,3.27
1,1,4.0,5.0,8,0,5,1,1,1,0,3,0,0,3.47,3.27
1,1,4.3,5.0,8,0,4,1,1,1,0,3,0,0,3.44,3.27
1,1,4.25,5.0,1,0,3,1,1,1,1,2,0,10,3.43,3.27
1,1,4.25,4.61,0,0,5,1,1,1,0,3,0,9,3.48,3.27
1,0,4.25,5.0,5,1,3,1,1,1,0,4,0,9,3.43,3.27
1,0,3.14,4.63,1,1,2,1,1,1,0,4,0,8,3.47,3.27
1,0,4.5,4.75,5,1,1,2,2,2,0,3,0,0,3.33,3.28
1,1,3.67,4.78,8,1,3,1,1,1,0,3,0,3,3.3,3.3
1,1,3.83,5.0,8,1,5,1,1,1,0,2,1,3,3.3,3.3
1,1,4.58,5.0,0,0,5,1,1,1,0,3,0,3,3.31,3.31
1,0,4.75,5.0,0,0,3,1,1,1,0,3,0,3,3.31,3.31
1,0,4.17,5.0,5,0,5,1,1,1,0,3,0,3,3.31,3.31
1,0,3.67,4.56,0,0,5,1,1,1,0,3,0,3,3.31,3.31
1,1,4.5,4.75,5,1,1,2,2,2,0,3,1,9,3.32,3.32
1,1,4.08,4.17,1,1,5,1,1,1,0,3,0,3,3.32,3.32
1,1,4.01,4.33,5,1,3,1,1,2,1,2,1,5,2.71,3.33
1,0,4.0,4.38,5,0,3,1,1,1,0,3,0,10,3.41,3.33
1,0,3.58,4.44,8,1,5,1,1,1,0,2,1,9,3.35,3.33
1,0,4.5,4.75,5,1,1,2,2,2,0,4,0,9,3.55,3.33
1,1,4.5,4.75,5,1,1,1,2,1,0,3,0,9,2.86,3.33
1,1,4.33,5.0,8,0,3,1,1,1,0,4,0,9,3.4,3.33
1,0,3.83,4.89,1,0,3,1,1,1,0,3,0,8,3.42,3.33
1,1,3.5,4.61,5,0,5,1,1,1,0,3,0,7,3.38,3.33
1,1,4.0,4.89,0,1,3,1,1,1,0,3,0,6,3.4,3.33
1,1,4.25,4.94,5,0,4,1,1,1,0,3,0,6,3.42,3.33
1,0,5.0,5.0,4,1,3,1,1,1,0,3,0,6,3.42,3.33
1,1,4.17,4.89,8,0,3,1,1,1,0,4,0,4,3.42,3.33
1,1,4.17,4.95,0,1,2,1,1,1,0,4,0,3,3.35,3.35
1,1,4.5,4.75,8,1,3,2,2,2,0,3,0,9,3.14,3.37
1,0,4.08,5.0,5,0,3,1,1,1,0,4,0,3,3.38,3.38
1,1,3.75,4.95,8,1,3,1,1,1,0,3,0,3,3.38,3.38
1,1,4.42,4.89,1,1,3,1,1,1,0,3,0,3,3.38,3.38
1,1,4.75,4.09,5,0,5,1,1,1,0,4,0,3,3.38,3.38
