Overall,Last,HSC,SSC
3.8,3.93,4.5,4.61
3.8,3.92,4.42,4.77
3.81,3.81,4.08,5.0
3.81,3.81,4.08,4.82
3.81,3.81,4.5,4.95
3.81,3.81,5.0,5.0
3.81,3.81,4.17,4.95
3.81,3.81,4.17,5.0
3.81,3.81,4.33,4.59
3.81,3.81,3.83,5.0
3.84,3.84,4.42,4.68
3.87,3.67,4.83,4.89
3.88,3.88,5.0,4.61
3.88,3.88,4.08,5.0
3.88,3.88,4.5,4.89
3.88,3.88,5.0,5.0
3.88,3.88,4.42,5.0
3.88,3.88,4.25,5.0
3.88,3.88,5.0,5.0
3.89,3.89,5.0,5.0
3.91,3.91,5.0,5.0
3.93,3.93,5.0,5.0
3.94,3.94,4.17,5.0
3.94,3.97,5.0,5.0
3.94,3.94,4.75,5.0
3.94,3.98,5.0,5.0
3.94,3.94,4.3,5.0
3.94,3.94,3.81,4.39
3.94,3.94,4.0,4.39
3.94,3.94,4.42,5.0
3.94,3.94,4.17,4.82
3.94,3.94,3.75,4.78
3.94,3.94,4.42,4.95
3.94,3.94,5.0,5.0
3.94,3.94,4.0,4.68
3.95,4.0,4.5,4.75
3.96,4.0,5.0,5.0
3.98,4.0,4.58,5.0
4.0,4.0,5.0,5.0
4.0,4.0,5.0,5.0
4.0,4.0,5.0,5.0
4.0,4.0,5.0,5.0
4.0,4.0,5.0,5.0
4.0,4.0,4.58,5.0
4.0,4.0,4.92,5.0
4.0,4.0,4.33,5.0
4.0,4.0,5.0,5.0
4.0,4.0,5.0,5.0
4.0,4.0,5.0,5.0
4.0,4.0,4.17,5.0
3.7,3.14,4.17,5.0
3.74,3.66,4.75,4.83
3.75,3.8,4.9,5.0
4.0,4.0,5.0,4.83
2.97,3.83,3.42,4.33
3.15,3.25,3.5,4.2
3.32,3.25,4.33,4.39
3.33,3.33,4.5,4.0
3.45,3.35,3.58,4.88
3.47,3.43,5.0,5.0
3.47,3.55,5.0,5.0
3.56,3.58,5.0,5.0
3.6,3.66,4.25,4.41
3.68,3.75,4.25,5.0
3.74,3.85,4.25,5.0
3.75,3.71,4.25,4.68
3.8,3.93,5.0,5.0
3.83,3.83,4.58,5.0
3.93,4.0,5.0,5.0
2.25,2.25,3.27,4.82
2.5,2.5,4.67,4.56
3.0,3.17,3.83,3.0
3.09,3.09,4.42,3.94
3.17,3.17,4.5,4.28
3.5,2.17,3.08,3.33
3.5,3.83,4.53,3.91
3.5,3.5,4.5,4.34
3.6,3.56,4.0,4.0
3.67,3.5,2.85,3.64
3.78,3.88,4.0,4.33
3.8,3.83,3.17,3.17
4.0,4.0,4.42,4.72
3.69,3.69,5.0,5.0
3.79,3.9,3.58,4.86
2.85,3.15,3.5,4.0
3.31,3.31,5.0,4.94
3.56,3.56,5.0,4.68
3.68,3.68,4.25,3.72
3.88,3.88,5.0,4.89
3.94,3.94,5.0,4.78
3.1,3.25,3.5,4.0
3.67,3.5,4.5,4.0
3.56,3.56,4.56,3.67
3.75,3.61,4.23,4.5
3.86,4.0,3.83,5.0
