Overall,Last,HSC,SSC,Semester
3.74,3.7,3.4,4.0,10
3.74,3.67,3.58,4.5,9
3.74,3.87,4.67,5.0,9
3.74,3.66,4.08,5.0,7
3.74,3.67,3.83,4.83,4
3.75,3.9,4.0,5.0,1
3.75,3.61,4.0,5.0,1
3.75,4.0,4.25,5.0,0
3.75,4.0,5.0,5.0,10
3.75,4.0,3.42,5.0,10
3.75,4.0,4.08,4.39,6
3.75,4.0,4.0,4.36,4
3.75,3.75,3.92,4.89,3
3.75,3.75,4.5,5.0,3
3.75,3.75,4.0,4.83,3
3.75,3.75,4.17,4.83,3
3.75,3.75,4.25,4.72,3
3.75,3.75,3.5,5.0,3
3.75,3.75,4.25,5.0,3
3.75,3.75,3.92,5.0,3
3.76,3.66,5.0,5.0,5
3.78,3.89,4.58,5.0,0
3.78,3.88,5.0,5.0,0
3.78,3.88,4.25,5.0,6
3.8,3.75,4.75,5.0,0
3.8,3.9,5.0,5.0,5
3.8,3.9,3.83,4.69,0
3.8,3.93,4.5,4.61,7
3.8,3.92,4.42,4.77,4
3.81,3.81,4.08,5.0,3
3.81,3.81,4.08,4.82,3
3.81,3.81,4.5,4.95,3
3.81,3.81,5.0,5.0,3
3.81,3.81,4.17,4.95,3
3.81,3.81,4.17,5.0,3
3.81,3.81,4.33,4.59,3
3.81,3.81,3.83,5.0,3
3.84,3.84,4.42,4.68,3
3.87,3.67,4.83,4.89,6
3.88,3.88,5.0,4.61,3
3.88,3.88,4.08,5.0,3
3.88,3.88,4.5,4.89,3
3.88,3.88,5.0,5.0,3
3.88,3.88,4.42,5.0,3
3.88,3.88,4.25,5.0,3
3.88,3.88,5.0,5.0,3
3.89,3.89,5.0,5.0,3
3.91,3.91,5.0,5.0,3
3.93,3.93,5.0,5.0,3
3.94,3.94,4.17,5.0,0
3.94,3.97,5.0,5.0,0
3.94,3.94,4.75,5.0,0
3.94,3.98,5.0,5.0,7
3.94,3.94,4.3,5.0,7
3.94,3.94,3.81,4.39,3
3.94,3.94,4.0,4.39,3
3.94,3.94,4.42,5.0,3
3.94,3.94,4.17,4.82,3
3.94,3.94,3.75,4.78,3
3.94,3.94,4.42,4.95,3
3.94,3.94,5.0,5.0,3
3.94,3.94,4.0,4.68,3
3.95,4.0,4.5,4.75,9
3.96,4.0,5.0,5.0,5
3.98,4.0,4.58,5.0,1
4.0,4.0,5.0,5.0,5
4.0,4.0,5.0,5.0,4
4.0,4.0,5.0,5.0,3
4.0,4.0,5.0,5.0,3
4.0,4.0,5.0,5.0,3
4.0,4.0,4.58,5.0,3
4.0,4.0,4.92,5.0,3
4.0,4.0,4.33,5.0,3
4.0,4.0,5.0,5.0,3
4.0,4.0,5.0,5.0,3
4.0,4.0,5.0,5.0,3
4.0,4.0,4.17,5.0,3
3.7,3.14,4.17,5.0,1
3.74,3.66,4.75,4.83,5
3.75,3.8,4.9,5.0,0
4.0,4.0,5.0,4.83,3
2.97,3.83,3.42,4.33,8
3.15,3.25,3.5,4.2,7
3.32,3.25,4.33,4.39,5
3.33,3.33,4.5,4.0,8
3.45,3.35,3.58,4.88,1
3.47,3.43,5.0,5.0,6
3.47,3.55,5.0,5.0,4
3.56,3.58,5.0,5.0,4
3.6,3.66,4.25,4.41,2
3.68,3.75,4.25,5.0,0
3.74,3.85,4.25,5.0,0
3.75,3.71,4.25,4.68,4
3.8,3.93,5.0,5.0,5
3.83,3.83,4.58,5.0,4
3.93,4.0,5.0,5.0,5
2.25,2.25,3.27,4.82,3
2.5,2.5,4.67,4.56,3
3.0,3.17,3.83,3.0,4
3.09,3.09,4.42,3.94,3
3.17,3.17,4.5,4.28,3
3.5,2.17,3.08,3.33,4
3.5,3.83,4.53,3.91,4
3.5,3.5,4.5,4.34,3
3.6,3.56,4.0,4.0,2
3.67,3.5,2.85,3.64,7
3.78,3.88,4.0,4.33,1
3.8,3.83,3.17,3.17,4
4.0,4.0,4.42,4.72,2
3.69,3.69,5.0,5.0,3
3.79,3.9,3.58,4.86,5
2.85,3.15,3.5,4.0,0
3.31,3.31,5.0,4.94,3
3.56,3.56,5.0,4.68,6
3.68,3.68,4.25,3.72,3
3.88,3.88,5.0,4.89,4
3.94,3.94,5.0,4.78,3
3.1,3.25,3.5,4.0,8
3.67,3.5,4.5,4.0,10
3.56,3.56,4.56,3.67,3
3.75,3.61,4.23,4.5,0
3.86,4.0,3.83,5.0,2
